RSI(14)_value,RSI(14)_status,"STOCH(9,6)_value","STOCH(9,6)_status",STOCHRSI(14)_value,STOCHRSI(14)_status,"MACD(12,26)_value","MACD(12,26)_status",ATR(14)_value,ATR(14)_status,ADX(14)_value,ADX(14)_status,CCI(14)_value,CCI(14)_status,Highs/Lows(14)_value,Highs/Lows(14)_status,UO_value,UO_status,ROC_value,ROC_status,WilliamsR_value,WilliamsR_status,BullBear(13)_value,BullBear(13)_status,Summary_value,Summary_status,Fiyat,Degisim,Hisse,Tarih,MA5_state,MA5_value,MA10_state,MA10_value,MA20_state,MA20_value,MA50_state,MA50_value,MA100_state,MA100_value,MA200_state,MA200_value,Summary_state,Summary_value
56.235,Buy,26.132,Sell,36.727,Sell,0.410,Buy,1.4414,High Volatility,35.277,Buy,4.8942,Neutral,0.0000,Neutral,47.698,Sell,11.474,Buy,-50.936,Neutral,0.9220,Buy,Buy (5) ,Buy,26.64,+1.99,GARAN,2023-03-23,AL,25.86,AL,26.41,AL,25.60,AL,24.64,AL,25.82,AL,22.47,AL,Buy (12)
47.538,Neutral,26.599,Sell,16.703,Oversold,0.146,Buy,1.6171,Less Volatility,33.628,Sell,-96.4560,Sell,-1.2471,Sell,41.329,Sell,-4.557,Sell,-82.909,Oversold,-1.7140,Sell,Buy (1) ,Strong Sell,44.74,-0.84,SISE,2023-03-23,SAT,44.840,SAT,45.764,SAT,46.749,AL,44.023,AL,41.357,AL,33.166,neutral,Buy (6)
44.074,Sell,25.000,Sell,0.000,Oversold,0.009,Buy,0.0686,High Volatility,40.939,Sell,-119.1919,Sell,-0.0743,Sell,42.183,Sell,-6.186,Sell,-96.429,Oversold,-0.1000,Sell,Buy (1) ,Strong Sell,0.91,-3.19,IHYAY,2023-03-23,SAT,0.956,SAT,1.016,SAT,0.983,SAT,0.933,SAT,1.003,AL,0.838,SAT,Buy (2)
34.906,Sell,24.980,Sell,0.000,Oversold,-0.058,Sell,0.0565,Less Volatility,47.382,Sell,-137.7754,Sell,-0.0718,Sell,52.723,Buy,-8.246,Sell,-96.070,Oversold,-0.1280,Sell,Buy (1) ,Strong Sell,1.31,-0.76,KATMR,2023-03-23,SAT,1.344,SAT,1.375,SAT,1.409,SAT,1.511,SAT,1.912,SAT,1.614,SAT,Buy (0)
41.722,Sell,10.708,Oversold,13.153,Oversold,-0.056,Sell,0.1114,Less Volatility,43.793,Sell,-86.7773,Sell,-0.1471,Sell,23.299,Oversold,-10.303,Sell,-91.071,Oversold,-0.1460,Sell,Buy (0) ,Strong Sell,2.97,+1.37,SNGYO,2023-03-23,AL,2.954,SAT,3.055,SAT,3.145,SAT,3.117,SAT,3.435,SAT,4.255,SAT,Buy (1)
42.546,Sell,27.014,Sell,0.000,Oversold,-0.007,Sell,0.0514,Less Volatility,36.239,Sell,-172.3311,Sell,-0.0579,Sell,31.350,Sell,-11.504,Sell,-100.000,Oversold,-0.0700,Sell,Buy (0) ,Strong Sell,1.0,-0.99,IHLGM,2023-03-23,SAT,1.028,SAT,1.061,SAT,1.065,SAT,1.044,SAT,1.148,AL,0.971,SAT,Buy (1)
61.206,Buy,66.081,Buy,0.000,Oversold,1.881,Buy,1.5050,High Volatility,68.885,Buy,29.9380,Neutral,0.0000,Neutral,49.555,Neutral,36.763,Buy,-51.617,Neutral,1.5440,Buy,Buy (6) ,Strong Buy,12.0,-5.96,EMKEL,2023-03-23,SAT,12.982,SAT,12.176,AL,10.254,AL,6.615,AL,5.648,AL,4.301,AL,Buy (8)
55.361,Buy,23.092,Sell,37.208,Sell,1.983,Buy,3.3607,Less Volatility,38.476,Sell,-67.7840,Sell,0.0000,Neutral,34.579,Sell,-13.195,Sell,-64.226,Sell,-2.2160,Sell,Buy (2) ,Strong Sell,41.98,+9.61,OYAKC,2023-03-23,AL,39.440,AL,41.002,SAT,43.987,AL,32.606,AL,26.079,AL,19.967,AL,Buy (11)
35.911,Sell,19.442,Oversold,30.492,Sell,-0.113,Sell,0.0914,Less Volatility,49.280,Sell,-89.5476,Sell,-0.1014,Sell,29.211,Oversold,-8.099,Sell,-85.714,Oversold,-0.1900,Sell,Buy (0) ,Strong Sell,2.62,+0.77,ALBRK,2023-03-23,SAT,2.612,SAT,2.673,SAT,2.781,SAT,2.963,SAT,3.074,AL,2.434,SAT,Buy (2)
44.222,Sell,33.573,Sell,55.111,Buy,-0.062,Sell,0.1179,High Volatility,30.986,Buy,-27.3468,Neutral,-0.0321,Sell,37.256,Sell,-3.604,Sell,-65.854,Sell,0.0920,Buy,Buy (3) ,Strong Sell,2.14,-1.38,DENGE,2023-03-23,AL,2.132,SAT,2.173,SAT,2.213,SAT,2.337,SAT,2.650,SAT,2.397,SAT,Buy (1)
37.437,Sell,18.505,Oversold,24.263,Oversold,-1.363,Sell,1.2743,Less Volatility,49.430,Sell,-99.3824,Sell,-1.7571,Sell,28.740,Oversold,-13.941,Sell,-84.463,Oversold,-3.3620,Sell,Buy (0) ,Strong Sell,29.18,+0.69,HEKTS,2023-03-23,AL,29.060,SAT,30.358,SAT,32.378,SAT,33.399,SAT,35.555,AL,25.545,SAT,Buy (3)
44.416,Sell,23.618,Sell,12.611,Oversold,-0.060,Sell,0.5193,Less Volatility,36.431,Sell,-103.4749,Sell,-0.5543,Sell,32.034,Sell,-11.777,Sell,-82.716,Oversold,-0.7100,Sell,Buy (0) ,Strong Sell,8.54,+0.23,GSRAY,2023-03-23,SAT,8.61,SAT,9.01,SAT,9.22,SAT,8.76,AL,7.87,AL,6.41,SAT,Buy (4)
56.757,Buy,55.278,Buy,100.000,Overbought,0.163,Buy,0.2393,Less Volatility,19.056,Neutral,161.7778,Buy,0.0471,Buy,48.249,Sell,4.738,Buy,-31.667,Buy,0.1580,Buy,Buy (8) ,Strong Buy,6.19,+0.98,IZMDC,2023-03-23,AL,6.124,AL,6.032,AL,6.030,AL,5.587,AL,5.598,AL,4.180,AL,Buy (12)
57.071,Buy,51.651,Neutral,0.000,Oversold,1.100,Buy,1.3900,High Volatility,24.913,Neutral,10.3822,Neutral,0.0000,Neutral,47.788,Sell,20.086,Buy,-47.328,Neutral,0.4880,Buy,Buy (4) ,Buy,16.91,-1.05,SOKE,2023-03-23,SAT,17.52,SAT,17.39,AL,16.17,AL,14.08,AL,7.04,AL,3.52,AL,Buy (8)
49.161,Neutral,40.167,Sell,51.616,Neutral,-0.021,Sell,0.1536,Less Volatility,25.803,Buy,-20.9062,Neutral,0.0000,Neutral,37.247,Sell,1.374,Buy,-56.522,Sell,0.0700,Buy,Buy (3) ,Sell,3.69,-0.27,VAKFN,2023-03-23,AL,3.690,AL,3.685,SAT,3.691,SAT,3.735,SAT,4.314,AL,3.602,neutral,Buy (6)
42.617,Sell,27.151,Sell,42.457,Sell,-0.750,Sell,0.7579,Less Volatility,23.506,Neutral,-87.2814,Sell,-0.3029,Sell,36.006,Sell,-0.057,Sell,-70.920,Sell,-1.0480,Sell,Buy (0) ,Strong Sell,17.41,+1.87,TTKOM,2023-03-23,AL,17.26,SAT,17.89,SAT,17.94,SAT,19.74,SAT,18.97,AL,14.65,SAT,Buy (4)
40.532,Sell,23.515,Sell,30.949,Sell,-3.856,Sell,4.2500,Less Volatility,46.206,Sell,-83.7968,Sell,-4.8500,Sell,35.274,Sell,-8.291,Sell,-79.018,Sell,-7.1620,Sell,Buy (0) ,Strong Sell,127.1,-0.63,THYAO,2023-03-23,AL,126.320,SAT,130.150,SAT,135.785,SAT,138.556,SAT,132.307,AL,99.047,SAT,Buy (4)
56.616,Buy,63.761,Buy,0.000,Oversold,1.593,Buy,1.4571,High Volatility,72.903,Overbought,21.2933,Neutral,0.0000,Neutral,48.452,Sell,36.270,Buy,-55.364,Sell,0.3300,Buy,Buy (5) ,Buy,13.32,-7.44,GEREL,2023-03-23,SAT,15.054,SAT,14.355,AL,12.056,AL,9.874,AL,9.163,AL,7.199,AL,Buy (8)
23.538,Oversold,9.567,Oversold,16.040,Oversold,-5.160,Sell,2.4271,High Volatility,44.113,Sell,-102.5678,Sell,-7.8043,Sell,20.017,Oversold,-44.286,Sell,-97.477,Oversold,-11.4920,Sell,Buy (0) ,Strong Sell,19.51,-2.64,PENTA,2023-03-23,SAT,20.38,SAT,24.40,SAT,30.54,SAT,36.73,SAT,47.97,SAT,47.33,SAT,Buy (0)
52.758,Neutral,55.780,Buy,43.541,Sell,0.073,Buy,0.1893,High Volatility,21.321,Neutral,23.7908,Neutral,0.0000,Neutral,35.883,Sell,24.737,Buy,-53.061,Neutral,0.0920,Buy,Buy (4) ,Buy,2.37,-2.47,YYAPI,2023-03-23,SAT,2.512,SAT,2.515,AL,2.247,AL,2.302,AL,2.169,AL,1.641,AL,Buy (8)
